figure,dist,mu,gamma,estimator,B,R,q_dev,mad_err,median_bias,sd_part,sd_samp,share,fail_t1
dists,t(2.1),1.0,2.5,Ratio-of-Medians,1,505,0.05024662059779689,0.016767588917144027,-0.001069156026861251,0.022712990409251968,0.011552503344606889,0.7944678001058662,0.05
dists,t(2.1),1.0,2.5,Ratio-of-Medians,5,101,0.03269615422697534,0.011028598986918159,-0.0009665935110199642,0.011932528605905938,0.011493750525595876,0.5187235966968319,0.003103960396039604
dists,t(2.1),1.0,2.5,Ratio-of-Medians,25,20,0.024961320422298112,0.008459259635717975,-0.0009252887058620041,0.005487944557928152,0.011465344211217384,0.18640358531932164,0.0001
dists,t(2.1),1.0,2.5,Ratio-of-Medians,101,5,0.023061863950922388,0.00790128485603564,-0.0009566361446617933,0.0027380552800150087,0.011476146598999757,0.053857806281639754,0.0
dists,Pareto(2.5),1.0,2.5,Median-of-Ratios,1,505,0.034978132552484165,0.01197275873732817,0.0005040214999121329,0.010630446363424811,0.014312263751380854,0.35553674901575244,0.05
dists,Pareto(2.5),1.0,2.5,Median-of-Ratios,5,101,0.030074068819074394,0.010384014054892088,0.0005555882948429236,0.00567819463139162,0.014299700177051547,0.1362007526347953,0.022287128712871286
dists,Pareto(2.5),1.0,2.5,Median-of-Ratios,25,20,0.028436759635294996,0.009787145149239729,0.0006835190895153609,0.002624847144425986,0.014303807183772745,0.03257773015382777,0.014775
dists,Pareto(2.5),1.0,2.5,Median-of-Ratios,101,5,0.02825059792924707,0.009647860664149355,0.0007833928719181982,0.0013214013509081808,0.014295577398580402,0.008471712313773186,0.0126
dists,Pareto(2.5),1.0,2.5,Ratio-of-Medians,1,505,0.06162117943711437,0.020638184022869543,-0.0003803959979064575,0.026989013776466394,0.015760963808269402,0.745695940750669,0.05
dists,Pareto(2.5),1.0,2.5,Ratio-of-Medians,5,101,0.04136978611103455,0.014186266302910755,-0.00038923556245384905,0.014204787421438903,0.015664567404966363,0.4512442892539971,0.004118811881188119
dists,Pareto(2.5),1.0,2.5,Ratio-of-Medians,25,20,0.03304464482285831,0.011474602722546079,-0.0002797780901893643,0.0065541456740077575,0.015669405073562397,0.1489038101316346,0.0003
dists,Pareto(2.5),1.0,2.5,Ratio-of-Medians,101,5,0.031089723714706797,0.010793052525535918,-0.0001653587272887891,0.003301028615990079,0.015660124944622072,0.042542934317570336,0.0
dists,"Mix(0.1,3)",1.0,2.5,Median-of-Ratios,1,505,0.05258933827078031,0.017865568166919643,0.0006872565189134372,0.015653230649825683,0.02167163958472451,0.34284210872680343,0.05
dists,"Mix(0.1,3)",1.0,2.5,Median-of-Ratios,5,101,0.04607164425129,0.015397673483194152,0.0005970003975016569,0.008322234120746626,0.021690433087112285,0.1283215818750631,0.025123762376237625
dists,"Mix(0.1,3)",1.0,2.5,Median-of-Ratios,25,20,0.04371701476611787,0.014526802107026782,0.0005179190869258887,0.003867648660106543,0.021685059653111818,0.03082994678140379,0.018425
dists,"Mix(0.1,3)",1.0,2.5,Median-of-Ratios,101,5,0.04354724739101749,0.014346195858203736,0.00046313341406301056,0.001932245278020327,0.02169009861808326,0.00787351212600534,0.0178
dists,"Mix(0.1,3)",1.0,2.5,Ratio-of-Medians,1,505,0.07706684545676847,0.026270166528121752,-0.0006528593951394268,0.03266627850775087,0.02181440543189104,0.6915862214446681,0.05
dists,"Mix(0.1,3)",1.0,2.5,Ratio-of-Medians,5,101,0.05473408602406953,0.018682184354146425,-0.0006797141525138328,0.0173259126839025,0.021820401708033205,0.38668118865007356,0.005638613861386138
dists,"Mix(0.1,3)",1.0,2.5,Ratio-of-Medians,25,20,0.04582572651937408,0.015526446492861223,-0.0006932682345116015,0.00802620747459815,0.021790946874450833,0.11945882260747671,0.0006
dists,"Mix(0.1,3)",1.0,2.5,Ratio-of-Medians,101,5,0.04377486974660963,0.014812266345929026,-0.00079856924539351,0.003999343870445107,0.02182620662283982,0.032484696451372384,0.0002
